filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	inventor	page	patent	variant
lynn_conway_us5046022_printrescancolor300/6031_scans-patents_lynn-conway-us5046022-rescan-color_p003_2479x3230.jpg	6031	scans-patents	lynn-conway-us5046022-rescan-color_p003	2479	3230	jpg	556020	page_003.jpg	uspto	PD	lynn-conway	3	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6032_scans-patents_lynn-conway-us5046022-rescan-color_p004_2479x3230.jpg	6032	scans-patents	lynn-conway-us5046022-rescan-color_p004	2479	3230	jpg	768080	page_004.jpg	uspto	PD	lynn-conway	4	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6033_scans-patents_lynn-conway-us5046022-rescan-color_p005_2479x3230.jpg	6033	scans-patents	lynn-conway-us5046022-rescan-color_p005	2479	3230	jpg	656805	page_005.jpg	uspto	PD	lynn-conway	5	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6034_scans-patents_lynn-conway-us5046022-rescan-color_p006_2479x3230.jpg	6034	scans-patents	lynn-conway-us5046022-rescan-color_p006	2479	3230	jpg	726678	page_006.jpg	uspto	PD	lynn-conway	6	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6035_scans-patents_lynn-conway-us5046022-rescan-color_p007_2479x3230.jpg	6035	scans-patents	lynn-conway-us5046022-rescan-color_p007	2479	3230	jpg	577680	page_007.jpg	uspto	PD	lynn-conway	7	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6036_scans-patents_lynn-conway-us5046022-rescan-color_p008_2479x3230.jpg	6036	scans-patents	lynn-conway-us5046022-rescan-color_p008	2479	3230	jpg	798514	page_008.jpg	uspto	PD	lynn-conway	8	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6037_scans-patents_lynn-conway-us5046022-rescan-color_p009_2479x3230.jpg	6037	scans-patents	lynn-conway-us5046022-rescan-color_p009	2479	3230	jpg	1511597	page_009.jpg	uspto	PD	lynn-conway	9	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6038_scans-patents_lynn-conway-us5046022-rescan-color_p010_2479x3230.jpg	6038	scans-patents	lynn-conway-us5046022-rescan-color_p010	2479	3230	jpg	1648801	page_010.jpg	uspto	PD	lynn-conway	10	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6039_scans-patents_lynn-conway-us5046022-rescan-color_p011_2479x3230.jpg	6039	scans-patents	lynn-conway-us5046022-rescan-color_p011	2479	3230	jpg	1542764	page_011.jpg	uspto	PD	lynn-conway	11	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6040_scans-patents_lynn-conway-us5046022-rescan-color_p012_2479x3230.jpg	6040	scans-patents	lynn-conway-us5046022-rescan-color_p012	2479	3230	jpg	1708468	page_012.jpg	uspto	PD	lynn-conway	12	us5046022	rescan-color
