filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	keyinfo	pd_basis	sha256	source_class	source_description	source_url
color/5022_nps_pinn-2019-map-update-draft-cropped2_color_p01_1685x1305.png	5022	nps	pinn-2019-map-update-draft-cropped2_color_p01	1685	1305	png	707408	nps_nps-pinn-2019-map-update-DRAFT-CROPPED2_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	5f8cb44d4e7223e4f83708fc3f21219d36cad34521e5aa4ab07634cfcba0c9df	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5023_nps_redw-horsetrails-sb-2021-2_color_p03_2550x4200.png	5023	nps	redw-horsetrails-sb-2021-2_color_p03	2550	4200	png	15537995	nps_nps-redw-HorseTrails_SB_2021-508-2_p03.png	nps	PD-USGov	color|p03	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	98e2b9c37f71c6748cb83b9055efd604a01933cce8ee3066422292c12712e179	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5024_nps_samo-backbonetrail-2023_color_p01_2550x4200.png	5024	nps	samo-backbonetrail-2023_color_p01	2550	4200	png	5805523	nps_nps-samo-BackboneTrail_2023_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	019d8dd2d3668eb32aee2992c78e801e620a74cd3f7ce1b504a46bcaa0bde371	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5025_nps_samo-backbonetrail-2023_color_p02_2550x4200.png	5025	nps	samo-backbonetrail-2023_color_p02	2550	4200	png	7658085	nps_nps-samo-BackboneTrail_2023_p02.png	nps	PD-USGov	color|p02	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	1379c0bfae4d152fcd3db8a0938600dee3fec1d3310d2e52d82de3039a780fb2	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5026_nps_whsa-whsa-2022_color_p01_4961x5847.png	5026	nps	whsa-whsa-2022_color_p01	4961	5847	png	3912779	nps_nps-whsa-WHSA_Unigrid_2022_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	be063c5f8f2c899088c56ffd8a267b4930f5b55292b0bdc105a1235ff0ab9f4d	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5027_nps_whsa-whsa-2022_color_p02_4961x5847.png	5027	nps	whsa-whsa-2022_color_p02	4961	5847	png	6248042	nps_nps-whsa-WHSA_Unigrid_2022_p02.png	nps	PD-USGov	color|p02	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	547171d506eec907719f784001eca57ab3a6d0e6d814e75f9a3d187ab95d78d0	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5028_nps_wrst-wrst-chinese-reduced_color_p01_4961x7016.png	5028	nps	wrst-wrst-chinese-reduced_color_p01	4961	7016	png	44055208	nps_nps-wrst-WRST_Unigrid_Chinese-508-reduced_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	838d95f190603f7400c8082d78d46efedacdabbf9874067d19099e1ada7fa2c3	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5029_nps_wrst-wrst-chinese-reduced_color_p02_4961x7016.png	5029	nps	wrst-wrst-chinese-reduced_color_p02	4961	7016	png	46390781	nps_nps-wrst-WRST_Unigrid_Chinese-508-reduced_p02.png	nps	PD-USGov	color|p02	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	0cf0630dd13327d35cdc35233c4bb2e9451f1f7f56ca46a04d95a2cf6a7c0476	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5030_nps_yell-2025-yellowstone_color_p01_4961x7016.png	5030	nps	yell-2025-yellowstone_color_p01	4961	7016	png	6987686	nps_nps-yell-2025_Yellowstone-Unigrid_Web-508_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	baf7514677ca20001230faa0ebb0fa45443a19603b30fbfdc2811a25612c1c4b	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5031_nps_yell-2025-yellowstone_color_p02_4961x7016.png	5031	nps	yell-2025-yellowstone_color_p02	4961	7016	png	11246487	nps_nps-yell-2025_Yellowstone-Unigrid_Web-508_p02.png	nps	PD-USGov	color|p02	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	4089de51fbb0a5b727a06e7c4517e310b70062f1278d14fac235573b00ad4b5b	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
