id	path	sdr_url	sdr_present	hdr_url	stem_differs
6060	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6060_scans-patents_lynn-conway-us5046022-rescan-gray_p002_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6060_scans-patents_lynn-conway-us5046022-rescan-gray_p002_2479x3230.sdr.png	1		0
6061	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6061_scans-patents_lynn-conway-us5046022-rescan-gray_p003_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6061_scans-patents_lynn-conway-us5046022-rescan-gray_p003_2479x3230.sdr.png	1		0
6062	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6062_scans-patents_lynn-conway-us5046022-rescan-gray_p004_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6062_scans-patents_lynn-conway-us5046022-rescan-gray_p004_2479x3230.sdr.png	1		0
6063	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6063_scans-patents_lynn-conway-us5046022-rescan-gray_p005_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6063_scans-patents_lynn-conway-us5046022-rescan-gray_p005_2479x3230.sdr.png	1		0
6064	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6064_scans-patents_lynn-conway-us5046022-rescan-gray_p006_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6064_scans-patents_lynn-conway-us5046022-rescan-gray_p006_2479x3230.sdr.png	1		0
6065	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6065_scans-patents_lynn-conway-us5046022-rescan-gray_p007_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6065_scans-patents_lynn-conway-us5046022-rescan-gray_p007_2479x3230.sdr.png	1		0
6066	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6066_scans-patents_lynn-conway-us5046022-rescan-gray_p008_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6066_scans-patents_lynn-conway-us5046022-rescan-gray_p008_2479x3230.sdr.png	1		0
6067	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6067_scans-patents_lynn-conway-us5046022-rescan-gray_p009_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6067_scans-patents_lynn-conway-us5046022-rescan-gray_p009_2479x3230.sdr.png	1		0
6068	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6068_scans-patents_lynn-conway-us5046022-rescan-gray_p010_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6068_scans-patents_lynn-conway-us5046022-rescan-gray_p010_2479x3230.sdr.png	1		0
6069	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6069_scans-patents_lynn-conway-us5046022-rescan-gray_p011_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6069_scans-patents_lynn-conway-us5046022-rescan-gray_p011_2479x3230.sdr.png	1		0
