filename	number	category	descriptor	location	width	height	format	bytes	original_filename	source	license	camera	fnum	iso
1447_nature_glacier-ice-formations_hornafjordur-iceland_s23u_iso50-f1p7_20231207-114532_4000x1868.heic	1447	nature	glacier-ice-formations	hornafjordur-iceland	4000	1868	heic	2101274	20231207_114532.heic	lilith	PD-own	s23u	1.7	50
1448_nature_snow-on-ice_hornafjordur-iceland_s23u_iso200-f1p7_20231207-115005_4000x1868.heic	1448	nature	snow-on-ice	hornafjordur-iceland	4000	1868	heic	2007751	20231207_115005.heic	lilith	PD-own	s23u	1.7	200
1449_nature_glacier-mountain-landscape_hornafjordur-iceland_s23u_iso12-f1p7_20231207-130740_16320x7612.heic	1449	nature	glacier-mountain-landscape	hornafjordur-iceland	16320	7612	heic	11476784	20231207_130740.heic	lilith	PD-own	s23u	1.7	12
1450_nature_icebergs-in-lagoon_hornafjordur-iceland_s23u_iso500-f1p7_20231207-153457_4000x1868.heic	1450	nature	icebergs-in-lagoon	hornafjordur-iceland	4000	1868	heic	1368810	20231207_153457.heic	lilith	PD-own	s23u	1.7	500
1451_nature_icebergs-on-lake_hornafjordur-iceland_s23u_20231207-154044-pano_3609x3394.jpg	1451	nature	icebergs-on-lake	hornafjordur-iceland	3609	3394	jpg	1739142	20231207_154044-PANO.jpg	lilith	PD-own	s23u		
1452_nature_ice-strewn-beach_diamond-beach-hornafjordur_s23u_iso1600-f1p7_20231207-161801_4000x1868.heic	1452	nature	ice-strewn-beach	diamond-beach-hornafjordur	4000	1868	heic	719903	20231207_161801.heic	lilith	PD-own	s23u	1.7	1600
1453_nature_basalt-column-cliff_reynisfjara-beach-myrdalshreppur_s23u_iso64-f1p7_20231209-113914_4000x3000.heic	1453	nature	basalt-column-cliff	reynisfjara-beach-myrdalshreppur	4000	3000	heic	2894463	20231209_113914.heic	lilith	PD-own	s23u	1.7	64
1454_nature_coastal-sunset-reflection_myrdalshreppur-iceland_s23u_iso10-f1p7_20231209-121716_8160x6120.heic	1454	nature	coastal-sunset-reflection	myrdalshreppur-iceland	8160	6120	heic	1972050	20231209_121716.heic	lilith	PD-own	s23u	1.7	10
1455_nature_lighthouse-on-hillside_dyrholaey-lighthouse-myrdalshreppur_s23u_iso10-f1p7_20231209-123918_8160x6120.dng	1455	nature	lighthouse-on-hillside	dyrholaey-lighthouse-myrdalshreppur	8160	6120	dng	124618597	20231209_123918.dng	lilith	PD-own	s23u	1.7	10
1456_nature_frozen-waterfall-landscape_gullfoss-falls-blaskogabyggd_s23u_iso125-f2p4_20231209-152815_4000x3000.heic	1456	nature	frozen-waterfall-landscape	gullfoss-falls-blaskogabyggd	4000	3000	heic	2151197	20231209_152815.heic	lilith	PD-own	s23u	2.4	125
